Date,Open,High,Low,Close,Volume
2024-06-27,3467.29,3471.14,3452.58,3454.12,114918101
2024-06-28,3443.67,3484.68,3443.67,3461.66,135409153
2024-07-01,3458.26,3479.95,3443.81,3478.18,121829770
2024-07-02,3472.45,3488.32,3464.52,3471.79,121650121
2024-07-03,3471.56,3478.7,3454.99,3463.41,103857108
2024-07-04,3468.3,3483.31,3444.93,3445.81,104429909
2024-07-05,3443.36,3451.04,3399.67,3431.06,116609659
2024-07-08,3420.8,3428.04,3395.91,3401.76,115528218
2024-07-09,3396.8,3448.93,3384.81,3439.81,131629443
2024-07-10,3425.88,3447.51,3423.65,3428.97,127203456
2024-07-11,3451.04,3473.98,3438.12,3468.17,145892466
2024-07-12,3459.96,3479.1,3457.36,3472.4,130874589
2024-07-15,3462.61,3481.46,3460.79,3476.25,118517083
2024-07-16,3466.85,3500.29,3464.37,3498.28,120659017
2024-07-17,3494.21,3514.48,3486.22,3501.58,131802062
2024-07-18,3483.3,3522.8,3475.72,3520.93,123768199
2024-07-19,3500.81,3545.34,3493.07,3539.02,132447975
2024-07-22,3538.4,3540.19,3494.01,3514.92,132126337
2024-07-23,3509.79,3509.79,3439.88,3439.88,128897660
2024-07-24,3432.35,3451.42,3408.41,3418.17,127036263
2024-07-25,3404.61,3415.86,3383.8,3399.27,131022242
2024-07-26,3403.71,3420.82,3388.66,3409.29,124195558
2024-07-29,3404.37,3408.5,3388.84,3390.74,109787786
2024-07-30,3380.69,3380.69,3352.8,3369.38,104952164
2024-07-31,3364.03,3445.0,3364.03,3442.08,171959177
2024-08-01,3443.14,3448.34,3419.19,3419.27,136323464
2024-08-02,3393.92,3419.1,3380.96,3384.39,116615255
2024-08-05,3362.11,3409.03,3343.32,3343.32,142812516
2024-08-06,3367.35,3376.8,3318.63,3342.98,119340279
2024-08-07,3338.59,3362.38,3329.97,3341.49,95084377
2024-08-08,3332.43,3364.79,3320.84,3342.94,92495695
2024-08-09,3358.13,3366.67,3331.63,3331.63,91511626
2024-08-12,3327.56,3338.08,3319.89,3325.86,79938754
2024-08-13,3328.01,3335.01,3310.19,3334.39,84489679
2024-08-14,3332.79,3332.79,3309.1,3309.24,78742407
2024-08-15,3301.45,3356.76,3297.97,3341.95,104766399
2024-08-16,3342.03,3356.91,3335.62,3345.63,96519083
